Title, link_posizione,Luogo,Azienda,score_trasparenza,Regione,Featured Image
Data Scientist,https://jobs.lever.co/musixmatch/f2ee556e-4b53-40e7-8197-9a138f0f6e4d,Bologna,Musixmatch,76,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Musixmatch_logo.png
Senior Accountant,https://jobs.lever.co/musixmatch/a4fab1e3-f240-48d1-b50e-f7089e2634ab,Bologna,Musixmatch,76,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Musixmatch_logo.png
Senior Product Designer - Musixmatch Pro,https://jobs.lever.co/musixmatch/c23fe8a5-ec7f-4f0c-9613-6ec3134f6568,Bologna,Musixmatch,76,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Musixmatch_logo.png
Stage UX & CRO,https://storeis.it/posizioni-aperte/stage-ux-cro/,Padova,Storeis,88,Veneto,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Storeis2.png
UX & CRO Specialist,https://storeis.it/posizioni-aperte/ux-cro-specialist/,Padova,Storeis,88,Veneto,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Storeis2.png
SEO Specialist,https://storeis.it/posizioni-aperte/seo-specialist/,Padova,Storeis,88,Veneto,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Storeis2.png
DIGITAL MARKETING SPECIALIST,https://storeis.it/posizioni-aperte/adv-specialist/,Padova,Storeis,88,Veneto,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Storeis2.png
Stage ADV,https://storeis.it/posizioni-aperte/stage-adv/,Padova,Storeis,88,Veneto,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Storeis2.png
Stage SEO,https://storeis.it/posizioni-aperte/stage-seo/,Padova,Storeis,88,Veneto,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Storeis2.png
Stage Digital Analytics,https://storeis.it/posizioni-aperte/stage-digital-analytics/,Padova,Storeis,88,Veneto,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Storeis2.png
Digital Analytics Specialist,https://storeis.it/posizioni-aperte/digital-analytics/,Padova,Storeis,88,Veneto,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Storeis2.png
DIGITAL MARKETING – CATEGORIE PROTETTE (L. 68/99),https://storeis.it/posizioni-aperte/digital-marketing-categorie-protette/,Padova,Storeis,88,Veneto,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Storeis2.png
Progettista Elettrico Junior,https://jobs.carrier.com/en/job/legnago/progettista-elettrico-junior/29289/69784996016,Legnago,Riello,70,Veneto,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Riello2.jpg
Sales Application Engineer,https://jobs.carrier.com/en/job/legnago/sales-application-engineer/29289/75692862880,Legnago,Riello,70,Veneto,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Riello2.jpg
Pre - Sales VRF,https://jobs.carrier.com/en/job/legnago/pre-sales-vrf/29289/71410433168,Legnago,Riello,70,Veneto,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Riello2.jpg
Inside Sales,https://jobs.carrier.com/en/job/pero/inside-sales/29289/73607256832,Pero,Riello,70,Lombardia,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Riello2.jpg
Heat Pump Laboratory Technician Intern,https://jobs.carrier.com/en/job/lecco/heat-pump-laboratory-technician-intern/29289/73215897680,Lecco,Riello,70,Lombardia,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Riello2.jpg
Sales Engineer Stage,https://jobs.carrier.com/en/job/legnago/sales-engineer-stage/29289/74102294640,Legnago,Riello,70,Veneto,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Riello2.jpg
Direct Sales Sicilia,https://jobs.carrier.com/en/job/pero/direct-sales-sicilia/29289/72448211440,Pero,Riello,70,Lombardia,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Riello2.jpg
Direct Sales Nord Est,https://jobs.carrier.com/en/job/pero/direct-sales-nord-est/29289/72079391456,Pero,Riello,70,Lombardia,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Riello2.jpg
Sales Data Center Business Development,https://jobs.carrier.com/en/job/pero/sales-data-center-business-development/29289/72555577280,Pero,Riello,70,Lombardia,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Riello2.jpg
Inside Sales,https://jobs.carrier.com/en/job/pero/inside-sales/29289/71358766768,Pero,Riello,70,Lombardia,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Riello2.jpg
Progettista elettrico software junior,https://careers.ima.it/job/Parma-PROGETTISTA-ELETTRICO-SOFTWARE-JUNIOR-Parm-43126/799582302/,Parma,IMA,75,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Project manager automation,https://careers.ima.it/job/Zola-Predosa-PROJECT-MANAGER-AUTOMATION-Bolo-40069/799449302/,Zola Predosa,IMA,75,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Progettista meccanico r&d,https://careers.ima.it/job/Barberino-Tavarnelle-PROGETTISTA-MECCANICO-R&D-Fire-50028/786701102/,Barberino Tavarnelle,IMA,75,,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Addetto alla programmazione della produzione,https://careers.ima.it/job/Calenzano-ADDETTO-ALLA-PROGRAMMAZIONE-DELLA-PRODUZIONE-Fire-50041/797267502/,Calenzano,IMA,75,Toscana,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Addetto/a manualistica e validazione,https://careers.ima.it/job/Zola-Predosa-ADDETTOA-MANUALISTICA-E-VALIDAZIONE-Bolo-40069/805081002/,Zola Predosa,IMA,75,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Progettista elettrico sw,https://careers.ima.it/job/Barberino-Tavarnelle-PROGETTISTA-ELETTRICO-SW-Fire-50028/799237102/,Barberino Tavarnelle,IMA,75,,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Buyer tecnico,https://careers.ima.it/job/Ozzano-dell&apos;Emilia-BUYER-TECNICO-Bolo-40064/805800902/,Ozzano dell'Emilia,IMA,75,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Montatore meccanico trasfertista,https://careers.ima.it/job/Ozzano-dell&apos;Emilia-MONTATORE-MECCANICO-TRASFERTISTA-Bolo-40064/806927702/,Ozzano dell'Emilia,IMA,75,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Unisciti a noi: tirocinanti,https://careers.ima.it/job/Bologna-UNISCITI-A-NOI-TIROCINANTI-Bolo-40100/799111102/,Bologna,IMA,75,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Area sales manager automazione food,https://careers.ima.it/job/Bologna-AREA-SALES-MANAGER-AUTOMAZIONE-FOOD-Bolo-44124/804758902/,Bologna,IMA,75,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Unisciti a noi: laureandi e neo-laureati,https://careers.ima.it/job/Bologna-UNISCITI-A-NOI-LAUREANDI-E-NEO-LAUREATI-Bolo-40100/799112502/,Bologna,IMA,75,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Unisciti a noi: diplomandi,https://careers.ima.it/job/Bologna-UNISCITI-A-NOI-DIPLOMANDI-Bolo-40100/799094002/,Bologna,IMA,75,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Project manager,https://careers.ima.it/job/Ozzano-dell&apos;Emilia-PROJECT-MANAGER-Bolo-40064/796820302/,Ozzano dell'Emilia,IMA,75,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Addetto tempi e metodi ambito elettrico,https://careers.ima.it/job/Castel-San-Pietro-Terme-ADDETTO-TEMPI-E-METODI-AMBITO-ELETTRICO-Bolo-40024/798707502/,Castel San Pietro Terme,IMA,75,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Collaudatore meccanico di officina,https://careers.ima.it/job/Ozzano-dell&apos;Emilia-COLLAUDATORE-MECCANICO-DI-OFFICINA-Bolo-40064/798938302/,Ozzano dell'Emilia,IMA,75,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Collaudatore elettronico software trasfertista,https://careers.ima.it/job/Ozzano-dell&apos;Emilia-COLLAUDATORE-ELETTRONICO-SOFTWARE-TRASFERTISTA-Bolo-40064/794660002/,Ozzano dell'Emilia,IMA,75,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Collaudatore / trice,https://careers.ima.it/job/Calenzano-COLLAUDATORE-TRICE-Fire-50041/798959302/,Calenzano,IMA,75,Toscana,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Technical sales support,https://careers.ima.it/job/Castel-San-Pietro-Terme-TECHNICAL-SALES-SUPPORT-Bolo-40024/794679702/,Castel San Pietro Terme,IMA,75,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Progettista elettrico hardware di macchine automatiche,https://careers.ima.it/job/Ozzano-dell&apos;Emilia-PROGETTISTA-ELETTRICO-HARDWARE-DI-MACCHINE-AUTOMATICHE-Bolo-40064/798704602/,Ozzano dell'Emilia,IMA,75,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
Tirocinio curriculare - meccatronica,https://careers.ima.it/job/Ozzano-dell&apos;Emilia-TIROCINIO-CURRICULARE-MECCATRONICA-Bolo-40064/804438902/,Ozzano dell'Emilia,IMA,75,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_IMA.jpg
